googlegroups.com,NOTRELEVANT
lecnam.net,"48.86674600000001,2.3554313"
jiscmail.ac.uk,"54.9689627,-1.6240242"
lists.globaloutlookdh.org,NOTRELEVANT
listserv.brown.edu,NOTRELEVANT
adbu.fr,"48.8440142,2.3374428"
histographe.com,"48.8667495,2.3532426"
gmail.com,NOTRELEVANT
laposte.net,NOTRELEVANT
lists.repec.org,NOTRELEVANT
uni.lu,"49.5042575,5.9461973"
ahicf.com,"48.8801743,2.3598598"
listserv.unc.edu,"35.9049122,-88.0117572"
liste.unimes.fr,"43.8424986,4.354806"
yahoo.es,NOTRELEVANT
uib.no,"60.3878586,5.3195662"
lsis.org,"43.1362506,6.0192121"
groupes.renater.fr,NOTRELEVANT
aalto.fi,"60.1866719,24.8254933"
listserv.aoir.org,NOTRELEVANT
aoir.org,NOTRELEVANT
rezo.net,NOTRELEVANT
openedition.org,"43.3430737,5.4328468"
helsinki.fi,"60.1779949,24.8543427"
groups.openedition.org,"43.3430737,5.4328468"
yahoogroupes.fr,NOTRELEVANT
listserv.rediris.es,"39.5920806,-7.6757467"
lists.digitalhumanities.org,NOTRELEVANT
listes.ancmsp.com,"48.8479131,2.3416051"
hastac.org,"40.564897,-73.972768"
clavert.net,"46.5210932,6.5779719"
humanidadesdigitales.net,"20.3018295,-101.9460734"
infoclio.ch,"46.9464269,7.4360048"
revues.org,"43.3430737,5.4328468"
lists.uvic.ca,"48.4634067,-123.3138822"
